Budget Item Code,Georgian Name,Budget Item Type,English Translation
25 04,წყალმომარაგების ინფრასტრუქტურის აღდგენა რეაბილიტაცია,Program,Refurbishment And Rehabilitation Of Water Supply Infrastructure
24 10,სათხილამურო ინფრასტრუქტურის განვითარება ზემო სვანეთში (Government of the French Republic),Program,SKIING INFRASTRUCTURE DEVELOPMENT IN ZEMO SVANETI (Government Of The French Republic)
27 03,სასჯელაღსრულებისა და პრობაციის სისტემისათვის თანამშრომელთა მომზადება და პროფესიული განვითარება,Program,Training Of Qualified Staff For The Penitentiary System
16 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის ლენტეხის ონისა და ცაგერის მუნიციპალიტეტებში,SpendingAgency,"Administration of the State Representative – Governor in AMBROLAURI, LENTEKHI, ONI and TSAGERI Municipalities"
49 01,საგარეო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,Program,Service And Repayment Of Foreign Debt
35 03 03,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,Program,Provision Of Healthcare Services To General Public In Priority Areas
30 06,საარქივო ფონდების დიგიტალიზაცია სამეცნიერო კვლევითი საქმიანობა და მოქალაქეთა მომსახურება,Program,"Digitization Of Archive Funds, Scientific-Research Operation And Citizen Services"
37 01,სოფლის მეურნეობის განვითარების პროგრამა,Program,Agriculture Development Program
53 11 04,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა გერმანიის რეკონსტრუქციის საკრედიტო ბანკი ევროკავშირი,Program,Rehabilitation Of Batumi Communal Infrastructure Institutions (III Phase German Reconstruction Credit Bank EU)
36 04 02,"კვ ქ ს ის ჯვარი და შესაბამისი ხაზების მშენებლობა გერმანიის რეკონსტრუქციის საკრედიტო ბანკი EC, ევროპის რეკონსტრუქციისა და განვითარების ბანკი",Program,"Building Cross and Corresponding Lines German Reconstruction Credit Bank EC, The European Bank For Reconstruction And Development"
